movie_name,ranking,score,score_num
风之谷,171,8.9,337461
纵横四海,172,8.8,394523
色，戒,173,8.6,719322
海街日记,174,8.8,416533
岁月神偷,175,8.7,551872
记忆碎片,176,8.7,569215
茶馆,177,9.5,116923
爱在午夜降临前,178,8.9,365927
忠犬八公物语,179,9.2,181416
绿里奇迹,180,8.9,301566
荒蛮故事,181,8.8,414962
爆裂鼓手,182,8.7,546288
小偷家族,183,8.7,772356
贫民窟的百万富翁,184,8.6,709257
疯狂的石头,185,8.6,766783
无敌破坏王,186,8.7,502901
东邪西毒,187,8.6,544839
雨中曲,188,9.1,204712
真爱至上,189,8.6,685843
冰川时代,190,8.6,577807
恐怖游轮,191,8.5,793580
你看起来好像很好吃,192,8.9,314243
2001太空漫游,193,8.9,294383
黑天鹅,194,8.6,748254
无间道2,195,8.7,434945
魔女宅急便,196,8.7,429417
遗愿清单,197,8.7,416873
牯岭街少年杀人事件,198,8.9,270560
背靠背，脸对脸,199,9.5,112625
雨人,200,8.7,382129
小丑,201,8.7,944256
大佛普拉斯,202,8.7,416536
恋恋笔记本,203,8.6,629475
可可西里,204,8.9,283676
城市之光,205,9.3,134250
东京教父,206,9.0,200620
源代码,207,8.5,789353
萤火虫之墓,208,8.7,387661
初恋这件小事,209,8.5,938202
虎口脱险,210,8.9,237828
人工智能,211,8.7,417211
海边的曼彻斯特,212,8.6,479445
罗生门,213,8.8,293797
心灵奇旅,214,8.7,899065
青蛇,215,8.6,491177
波西米亚狂想曲,216,8.6,562602
终结者2：审判日,217,8.8,320884
疯狂的麦克斯4：狂暴之路,218,8.7,494003
新龙门客栈,219,8.7,415393
奇迹男孩,220,8.6,525875
二十二,221,8.7,279299
房间,222,8.8,353412
无耻混蛋,223,8.6,444546
千钧一发,224,8.8,271046
血钻,225,8.7,356152
崖上的波妞,226,8.6,453746
彗星来的那一夜,227,8.5,528717
黑客帝国2：重装上阵,228,8.7,382179
魂断蓝桥,229,8.8,260823
步履不停,230,8.8,260871
战争之王,231,8.7,342985
爱乐之城,232,8.4,823978
谍影重重2,233,8.7,331367
末路狂花,234,8.9,224039
燃情岁月,235,8.8,271339
火星救援,236,8.5,673875
千年女优,237,8.8,241015
阿飞正传,238,8.5,476199
再次出发之纽约遇见你,239,8.6,403796
谍影重重,240,8.6,398956
朗读者,241,8.6,434790
海洋,242,9.1,151685
花束般的恋爱,243,8.6,505025
香水,244,8.5,518293
穿越时空的少女,245,8.6,362336
地球上的星星,246,8.9,193617
我爱你,247,9.0,156262
完美陌生人,248,8.5,498974
弱点,249,8.7,275928
哈利·波特与死亡圣器(上),250,8.5,517855
